tot_inserts	elap_secs	cum_ips	int_ips
96511000	20993	4597.20	0.00
96889000	21071	4598.08	4832.65
96890000	21071	4598.10	9259.26
96890000	21071	4598.08	0.00
96890000	21071	4598.05	0.00
96892000	21072	4597.98	2631.58
96894000	21073	4597.95	3442.34
97306000	21163	4597.88	4582.87
97307000	21163	4597.78	1457.73
97308000	21164	4597.79	5000.00
97308000	21164	4597.72	0.00
97309000	21164	4597.70	3333.33
97661000	21240	4597.89	4649.93
98039000	21326	4596.99	4375.71
98393000	21400	4597.80	4835.47
98395000	21400	4597.79	3960.40
98396000	21400	4597.75	2500.00
98398000	21401	4597.80	10000.00
98399000	21401	4597.78	3333.33
98401000	21401	4597.79	5000.00
98403000	21402	4597.80	5000.00
98403000	21402	4597.69	0.00
98719000	21474	4597.14	4431.98
98720000	21474	4597.12	3333.33
98726000	21475	4597.23	7500.00
98743000	21477	4597.42	6071.43
99110000	21555	4597.81	4705.13
100013000	21751	4598.04	4623.06
100449000	21840	4599.25	4894.75
100453000	21841	4599.20	3636.36
100885000	21933	4599.52	4675.32
101349000	22029	4600.52	4828.30
101834000	22121	4603.48	5317.98
101835000	22121	4603.38	1428.57
101839000	22123	4603.26	2857.14
101842000	22123	4603.34	10000.00
101848000	22125	4603.30	4000.00
101859000	22128	4603.13	3437.50
101863000	22129	4603.00	2700.88
101869000	22130	4603.02	4922.07
102278000	22216	4603.73	4789.23
102278000	22217	4603.59	0.00
102279000	22217	4603.53	2000.00
102280000	22217	4603.54	5524.86
102281000	22219	4603.14	471.92
102282000	22220	4603.11	2493.77
102282000	22220	4603.04	0.00
102538000	22284	4601.42	4031.43
102946000	22372	4601.55	4636.42
103431000	22469	4603.23	4989.71
103434000	22469	4603.30	10000.00
103918000	22581	4601.95	4329.16
104328000	22670	4601.90	4591.27
104333000	22671	4601.94	5555.56
105083000	22846	4599.62	4297.99
105536000	22941	4600.14	4723.67
105562000	22949	4599.69	3291.14
106072000	23058	4600.16	4700.55
106074000	23058	4600.17	4975.12
106075000	23059	4600.15	3333.33
106076000	23059	4600.16	5000.00
106079000	23059	4600.21	7500.00
106089000	23059	4600.60	50000.00
106994000	23252	4601.49	4708.64
107928000	23448	4602.82	4760.45
107928000	23448	4602.78	0.00
107931000	23449	4602.74	3333.33
107931000	23450	4602.58	0.00
107932000	23450	4602.56	3333.33
107934000	23450	4602.59	6666.67
107935000	23451	4602.53	2000.00
107937000	23451	4602.54	5000.00
107937000	23452	4602.40	0.00
107938000	23452	4602.39	3333.33
107938000	23452	4602.35	0.00
108738000	23641	4599.43	4237.29
108744000	23644	4599.11	2010.72
108748000	23645	4599.10	4366.81
108752000	23646	4599.17	8000.00
108756000	23646	4599.20	5714.29
108760000	23648	4599.06	2498.44
110037000	23915	4601.11	4782.79
110632000	24029	4604.06	5223.79
111085000	24133	4602.99	4355.81
111534000	24236	4601.98	4363.46
111538000	24237	4601.87	2857.14
112046000	24347	4601.89	4605.62
113169000	24570	4605.92	5047.19
113172000	24570	4605.99	10000.00
113563000	24668	4603.54	3989.80
113564000	24668	4603.53	3333.33
113570000	24669	4603.60	6666.67
113582000	24672	4603.64	5000.00
114078000	24772	4604.97	4930.42
114589000	24878	4605.96	4839.02
115053000	24986	4604.53	4276.50
115054000	24987	4604.48	2000.00
115057000	24988	4604.45	3750.00
115058000	24988	4604.44	3333.33
116130000	25216	4605.35	4705.88
116708000	25334	4606.68	4890.02
117310000	25455	4608.38	4963.76
117312000	25456	4608.40	6230.53
117313000	25456	4608.37	2500.00
117315000	25456	4608.41	10000.00
117316000	25456	4608.41	5000.00
117319000	25457	4608.50	15000.00
117322000	25458	4608.38	2305.92
117327000	25459	4608.45	7153.08
117331000	25460	4608.32	2500.00
117332000	25461	4608.28	2500.00
117332000	25461	4608.21	0.00
117334000	25461	4608.22	4950.50
117929000	25581	4610.00	4991.78
117934000	25582	4610.04	5555.56
117935000	25582	4609.95	1440.92
117936000	25583	4609.92	2544.53
117940000	25583	4610.00	9876.54
117942000	25583	4610.03	6622.52
117944000	25584	4610.05	6666.67
117949000	25584	4610.12	7246.38
117955000	25586	4610.03	3303.96
117957000	25587	4610.02	4000.00
117961000	25587	4610.12	13559.32
117961000	25587	4610.06	0.00
119154000	25828	4613.36	4964.11
119154000	25828	4613.34	0.00
119155000	25828	4613.35	8196.72
119155000	25828	4613.33	0.00
119155000	25829	4613.22	0.00
119156000	25829	4613.24	8264.46
119156000	25829	4613.17	0.00
119159000	25830	4613.11	3054.99
119166000	25831	4613.20	6986.03
119169000	25832	4613.21	4870.13
119171000	25832	4613.23	6666.67
119172000	25833	4613.17	1666.67
119175000	25833	4613.25	15000.00
120293000	26063	4615.45	4862.98
120867000	26193	4614.42	4408.74
120868000	26193	4614.41	3460.21
120871000	26194	4614.37	3340.76
121409000	26302	4615.92	4994.57
121409000	26302	4615.89	0.00
121409000	26302	4615.84	0.00
121411000	26303	4615.86	6666.67
121423000	26306	4615.68	3338.90
121424000	26307	4615.65	2500.00
121431000	26307	4615.76	7726.27
121934000	26414	4616.17	4718.57
121934000	26414	4616.12	0.00
121935000	26415	4616.12	5000.00
121935000	26415	4616.02	0.00
121936000	26416	4615.97	2000.00
121937000	26416	4615.97	5000.00
122545000	26547	4616.15	4651.87
122547000	26547	4616.11	2898.55
122547000	26548	4615.97	0.00
122549000	26548	4615.99	6578.95
122550000	26549	4615.96	2500.00
122551000	26549	4615.93	2531.65
122998000	26652	4614.93	4356.85
123001000	26652	4615.02	26548.67
124079000	26886	4614.86	4597.00
124083000	26887	4614.89	5722.46
124088000	26888	4614.91	5000.00
124093000	26889	4614.89	4233.70
124794000	27031	4616.54	4929.02
124795000	27032	4616.55	5000.00
125439000	27170	4616.80	4666.67
125439000	27170	4616.75	0.00
125441000	27170	4616.77	6666.67
125445000	27172	4616.70	3076.92
125451000	27173	4616.68	4285.71
125453000	27173	4616.69	5141.39
125455000	27174	4616.69	4962.78
125458000	27174	4616.75	9868.42
125464000	27174	4616.91	15151.52
125467000	27176	4616.83	2707.58
125467000	27176	4616.76	0.00
125474000	27178	4616.70	3695.88
125500000	27180	4617.31	13000.00
126061000	27307	4616.30	4399.79
126606000	27418	4617.60	4941.07
126608000	27419	4617.47	1666.67
126609000	27419	4617.43	2044.99
126610000	27420	4617.43	4739.34
126610000	27420	4617.40	0.00
126611000	27420	4617.40	5000.00
126617000	27421	4617.47	6666.67
126619000	27421	4617.44	3333.33
126627000	27423	4617.43	4444.44
126628000	27425	4617.09	454.34
127305000	27574	4616.81	4565.07
127308000	27575	4616.64	1765.74
127309000	27576	4616.61	2500.00
127313000	27576	4616.65	6666.67
127316000	27577	4616.69	7500.00
128567000	27832	4619.26	4896.49
129216000	27978	4618.47	4466.25
129912000	28138	4616.94	4350.00
130569000	28282	4616.66	4562.50
130570000	28282	4616.58	1428.57
130583000	28285	4616.67	5676.86
131938000	28574	4617.36	4685.18
132553000	28708	4617.20	4582.71
133200000	28842	4618.14	4818.07
133976000	29006	4618.90	4754.49
134668000	29156	4618.83	4604.13
134682000	29159	4618.80	4375.00
135451000	29315	4620.49	4935.82
135453000	29315	4620.49	5000.00
135456000	29316	4620.51	6000.00
136114000	29456	4620.80	4679.91
136115000	29457	4620.78	3333.33
136117000	29457	4620.79	5000.00
136120000	29458	4620.70	2500.00
136129000	29459	4620.88	11250.00
136965000	29629	4622.59	4917.65
136971000	29631	4622.51	3333.33
136984000	29634	4622.42	3823.53
137776000	29808	4622.07	4562.21
138461000	29949	4623.18	4858.16
138461000	29949	4623.12	0.00
138461000	29950	4623.04	0.00
138470000	29952	4622.98	3913.04
139750000	30222	4624.08	4746.01
139750000	30222	4624.02	0.00
139757000	30222	4624.21	23972.60
139759000	30223	4624.17	2853.07
139761000	30223	4624.19	6825.94
140547000	30393	4624.24	4633.40
140547000	30393	4624.22	0.00
140548000	30393	4624.24	8064.52
140551000	30394	4624.27	6864.99
140553000	30394	4624.27	5000.00
140555000	30394	4624.31	10000.00
140558000	30395	4624.35	7500.00
140560000	30395	4624.35	5000.00
140563000	30395	4624.42	15000.00
140565000	30396	4624.44	6666.67
140568000	30396	4624.48	7500.00
140570000	30396	4624.48	5000.00
140573000	30397	4624.55	15000.00
140576000	30397	4624.59	7500.00
141302000	30563	4623.16	4362.98
141304000	30564	4623.20	10000.00
141306000	30564	4623.19	4000.00
141308000	30565	4623.16	3333.33
142032000	30733	4621.34	4291.64
142035000	30734	4621.40	10000.00
142037000	30734	4621.42	6666.67
142903000	30913	4622.73	4848.82
142929000	30917	4622.90	5777.78
142935000	30919	4622.84	3531.49
144082000	31170	4622.32	4559.02
144085000	31171	4622.36	7317.07
144086000	31171	4622.33	2583.98
144312000	31223	4621.96	4395.01
144324000	31225	4622.03	5730.66
145797000	31512	4626.65	5128.83
145798000	31512	4626.64	3333.33
145800000	31513	4626.66	6666.67
145844000	31522	4626.62	4489.80
147243000	31816	4627.94	4769.86
147244000	31816	4627.85	1265.82
147244000	31817	4627.81	0.00
147246000	31817	4627.81	5000.00
147248000	31818	4627.79	3333.33
148737000	32145	4626.93	4543.79
148745000	32147	4626.95	5000.00
148745000	32148	4626.88	0.00
148746000	32148	4626.87	3300.33
148747000	32148	4626.84	2463.05
148748000	32149	4626.81	2500.00
148749000	32149	4626.79	2500.00
148751000	32149	4626.82	11049.72
148752000	32149	4626.82	4566.21
148752000	32150	4626.79	0.00
148761000	32151	4626.86	6004.00
148764000	32152	4626.82	3329.63
148764000	32153	4626.75	0.00
149544000	32319	4627.11	4695.97
150463000	32490	4631.02	5371.13
151243000	32647	4632.66	4971.32
151245000	32647	4632.68	6666.67
151247000	32647	4632.70	6666.67
151255000	32648	4632.77	6666.67
152188000	32837	4634.61	4952.86
152191000	32837	4634.62	5008.35
152195000	32838	4634.65	6578.95
152877000	32979	4635.49	4830.20
153826000	33181	4635.89	4702.14
154699000	33349	4638.72	5196.43
154702000	33351	4638.56	1666.67
155427000	33515	4637.46	4414.76
155432000	33517	4637.41	3427.00
156343000	33687	4641.05	5358.22
157416000	33951	4636.52	4059.78
157419000	33951	4636.57	10000.00
157421000	33952	4636.53	2958.58
157423000	33952	4636.55	6666.67
157427000	33952	4636.63	12345.68
157428000	33953	4636.55	1280.41
157429000	33953	4636.55	5128.21
157431000	33954	4636.54	4000.00
157433000	33954	4636.54	4716.98
158334000	34129	4639.19	5152.07
159970000	34463	4641.73	4902.33
159973000	34465	4641.58	1666.67
159977000	34465	4641.67	21978.02
159981000	34465	4641.75	13377.93
159988000	34466	4641.81	6869.48
159992000	34467	4641.87	10000.00
159998000	34467	4641.93	6833.71
160001000	34468	4641.96	7109.00
160006000	34470	4641.84	2500.00
160007000	34470	4641.81	2500.00
160030000	34473	4642.10	8214.29
160037000	34474	4642.14	5833.33
160863000	34648	4642.71	4755.27
162670000	35014	4645.83	4941.22
162671000	35014	4645.78	1666.67
162673000	35015	4645.74	2857.14
162673000	35016	4645.66	0.00
162673000	35016	4645.61	0.00
162677000	35017	4645.66	8000.00
163473000	35180	4646.67	4864.72
163473000	35180	4646.66	0.00
163473000	35180	4646.64	0.00
163478000	35181	4646.66	5434.78
163479000	35182	4646.64	2500.00
163484000	35183	4646.67	6112.47
163489000	35184	4646.64	3900.16
164591000	35392	4650.43	5290.45
165186000	35539	4647.94	4048.14
165194000	35540	4647.99	6065.20
165204000	35541	4648.15	10000.00
165224000	35548	4647.84	3030.30
165225000	35548	4647.82	2500.00
165226000	35549	4647.76	1428.57
165228000	35549	4647.77	6666.67
165231000	35550	4647.83	15000.00
165232000	35550	4647.84	7874.02
166703000	35845	4650.57	4978.76
166707000	35846	4650.58	5012.53
166710000	35847	4650.58	4838.71
166716000	35847	4650.66	8571.43
166725000	35850	4650.60	3748.44
166730000	35851	4650.53	3126.95
166743000	35854	4650.50	4333.33
167658000	36041	4651.84	4908.80
167662000	36041	4651.88	6884.68
167664000	36042	4651.84	2781.64
167666000	36042	4651.86	7117.44
167671000	36043	4651.89	6105.01
167674000	36044	4651.91	6000.00
167682000	36045	4651.98	6666.67
168647000	36232	4654.58	5154.97
168648000	36233	4654.53	1736.11
168651000	36233	4654.56	7299.27
168653000	36234	4654.54	3389.83
168656000	36234	4654.51	3337.04
169659000	36442	4655.51	4830.80
169664000	36443	4655.51	4633.92
169667000	36444	4655.52	4975.12
170619000	36633	4657.52	5044.54
170638000	36636	4657.55	5000.00
170639000	36637	4657.54	3344.48
170665000	36645	4657.13	2953.87
170675000	36647	4657.25	7836.99
171622000	36872	4654.53	4212.50
171622000	36872	4654.51	0.00
171624000	36931	4647.06	33.62
171624000	36932	4647.01	0.00
171624000	36932	4646.99	0.00
171624000	36932	4646.96	0.00
171624000	36933	4646.89	0.00
171624000	36933	4646.79	0.00
171624000	36934	4646.65	0.00
171624000	36935	4646.60	0.00
171624000	36935	4646.55	0.00
171624000	36936	4646.42	0.00
171624000	36939	4646.13	0.00
171625000	36953	4644.36	69.80
171625000	36953	4644.34	0.00
171625000	36953	4644.33	0.00
171625000	36953	4644.31	0.00
171625000	36954	4644.26	0.00
171625000	36957	4643.81	0.00
171625000	36958	4643.77	0.00
171625000	36958	4643.72	0.00
171625000	36958	4643.68	0.00
171625000	36959	4643.63	0.00
171625000	36959	4643.62	0.00
171625000	36959	4643.58	0.00
171625000	36959	4643.57	0.00
171626000	36960	4643.54	2105.26
171631000	36961	4643.57	6157.64
171631000	36961	4643.55	0.00
171632000	36961	4643.56	8928.57
171637000	36962	4643.49	3097.89
171638000	36963	4643.50	7874.02
171638000	36963	4643.49	0.00
171641000	36963	4643.55	23622.05
171641000	36963	4643.54	0.00
171642000	36963	4643.55	7874.02
171642000	36963	4643.53	0.00
171642000	36963	4643.51	0.00
171642000	36963	4643.50	0.00
171642000	36964	4643.48	0.00
171642000	36964	4643.45	0.00
171648000	36966	4643.37	3157.89
171658000	36968	4643.31	3703.70
171662000	36969	4643.35	8000.00
171663000	36970	4643.24	908.27
171667000	36970	4643.33	31496.06
171668000	36971	4643.30	2118.64
171668000	36971	4643.27	0.00
171671000	36971	4643.28	5000.00
171678000	36973	4643.33	6363.64
171682000	36973	4643.34	5000.00
171684000	36974	4643.34	5000.00
171685000	36975	4643.23	908.27
171690000	36975	4643.34	25125.63
171690000	36975	4643.30	0.00
171690000	36976	4643.25	0.00
171690000	36976	4643.23	0.00
171693000	36977	4643.20	3260.87
171699000	36978	4643.26	7653.06
171702000	36979	4643.23	3275.11
171704000	36979	4643.18	2500.00
171710000	36980	4643.24	7500.00
171728000	36984	4643.24	4636.79
171755000	36991	4643.14	4079.78
171780000	36996	4643.19	5000.00
171785000	36998	4643.05	2271.69
171819000	37005	4643.08	4801.58
171823000	37007	4642.90	1732.35
171825000	37007	4642.94	16393.44
171888000	37021	4642.95	4671.16
171903000	37024	4642.99	5172.41
171912000	37025	4643.08	7500.00
171912000	37025	4643.03	0.00
171935000	37030	4643.09	5109.98
171956000	37033	4643.20	5834.95
171958000	37034	4643.13	2000.00
171964000	37036	4643.11	4000.00
171965000	37037	4643.04	1428.57
171965000	37037	4643.01	0.00
171967000	37037	4643.04	10000.00
171968000	37038	4643.01	2617.80
171976000	37038	4643.17	15444.02
171976000	37038	4643.13	0.00
171977000	37039	4643.13	5000.00
172006000	37041	4643.56	10357.14
172009000	37042	4643.62	16393.44
172011000	37042	4643.64	6430.87
172033000	37046	4643.74	5632.36
172047000	37048	4643.78	5185.19
172064000	37051	4643.98	8149.57
172220000	37090	4643.28	3988.34
172322000	37109	4643.57	5177.66
172377000	37123	4643.40	4171.72
172385000	37124	4643.49	8016.03
172393000	37126	4643.42	3490.40
172397000	37127	4643.39	3552.40
172407000	37131	4643.16	2500.00
172459000	37144	4642.94	4031.01
172476000	37148	4642.88	4047.62
172477000	37149	4642.84	2000.00
172477000	37149	4642.81	0.00
172484000	37150	4642.82	4947.00
172485000	37151	4642.80	2659.57
172486000	37151	4642.79	3333.33
172489000	37151	4642.84	13333.33
172491000	37151	4642.86	6666.67
172493000	37152	4642.87	6622.52
172496000	37152	4642.94	27777.78
172524000	37157	4643.03	5291.01
172575000	37169	4642.90	4250.00
172586000	37171	4642.94	5235.60
172587000	37172	4642.90	2004.01
172641000	37188	4642.36	3375.00
172644000	37189	4642.34	3750.00
172756000	37210	4642.62	5114.16
172845000	37227	4642.95	5393.94
172954000	37253	4642.63	4192.31
173011000	37261	4643.21	7409.33
173012000	37261	4643.21	5235.60
173013000	37261	4643.20	3436.43
173013000	37261	4643.17	0.00
173015000	37262	4643.17	4158.00
173021000	37262	4643.31	35294.12
173299000	37326	4642.77	4333.26
173393000	37342	4643.26	5771.12
173585000	37383	4643.41	4774.69
173589000	37384	4643.35	3076.92
173591000	37384	4643.34	4000.00
173594000	37385	4643.37	7500.00
173605000	37389	4643.17	2750.00
173607000	37390	4643.11	2222.22
173712000	37409	4643.56	5530.39
173712000	37409	4643.52	0.00
173712000	37409	4643.49	0.00
173714000	37410	4643.50	6666.67
173859000	37439	4643.77	4980.76
173872000	37442	4643.72	4062.50
173876000	37442	4643.78	10638.30
173880000	37443	4643.81	6410.26
173882000	37445	4643.66	1250.00
173885000	37446	4643.61	2729.75
173891000	37446	4643.66	6825.94
173908000	37450	4643.66	4693.54
174081000	37484	4644.11	5148.81
174360000	37540	4644.61	4973.26
174382000	37542	4644.94	10961.63
174383000	37543	4644.86	1119.82
174385000	37543	4644.88	7067.14
174576000	37594	4643.69	3766.00
174706000	37623	4643.57	4482.76
174895000	37665	4643.40	4489.31
175187000	37718	4644.63	5522.15
175189000	37718	4644.64	6666.67
175209000	37721	4644.78	6244.15
175475000	37777	4644.92	4741.28
175677000	37827	4644.12	4038.71
175894000	37866	4645.07	5564.10
175894000	37867	4645.04	0.00
175895000	37867	4645.05	5000.00
175897000	37867	4645.06	6666.67
175897000	37867	4645.04	0.00
175897000	37868	4645.00	0.00
175910000	37869	4645.11	6842.11
176169000	37927	4644.86	4480.97
176174000	37929	4644.82	3571.43
176175000	37929	4644.80	2500.00
176177000	37929	4644.83	11049.72
176444000	37982	4645.45	5093.57
176448000	37982	4645.47	5714.29
176448000	37983	4645.41	0.00
176450000	37983	4645.42	6666.67
176452000	37984	4645.43	5000.00
176455000	37984	4645.47	10000.00
176456000	37985	4645.41	1428.57
176458000	37985	4645.43	6666.67
176458000	37985	4645.40	0.00
176978000	38099	4645.19	4573.44
176981000	38099	4645.22	7500.00
176982000	38100	4645.19	2500.00
176984000	38100	4645.21	6666.67
176986000	38100	4645.23	6666.67
176991000	38101	4645.21	4166.67
177008000	38103	4645.50	13076.92
177327000	38163	4646.46	5246.62
177333000	38164	4646.56	12552.30
177350000	38168	4646.46	3845.28
177355000	38170	4646.45	4166.67
177683000	38234	4647.14	5052.84
177685000	38235	4647.12	3502.63
177690000	38237	4646.99	2364.07
178011000	38305	4647.17	4748.52
178013000	38305	4647.19	6666.67
178030000	38310	4647.01	3333.33
178031000	38310	4647.02	5000.00
178033000	38311	4647.02	5000.00
178034000	38311	4647.01	3333.33
178338000	38377	4646.95	4614.66
178646000	38442	4647.07	4715.90
178654000	38445	4646.99	3315.38
179423000	38607	4647.37	4738.61
179879000	38700	4647.99	4903.17
179882000	38701	4647.95	3278.69
179882000	38701	4647.93	0.00
179886000	38701	4647.99	10000.00
179891000	38702	4648.00	5076.14
179892000	38703	4647.99	3174.60
179894000	38703	4647.99	5000.00
179902000	38705	4648.02	5333.33
179906000	38706	4647.96	3076.92
180262000	38791	4646.96	4188.24
180276000	38791	4647.29	72916.67
180561000	38859	4646.57	4227.98
180562000	38859	4646.48	1111.11
180563000	38860	4646.47	3333.33
180563000	38860	4646.45	0.00
180571000	38862	4646.45	4705.88
180574000	38862	4646.43	3750.00
180577000	38864	4646.33	2000.00
180582000	38865	4646.39	8333.33
181092000	38957	4648.40	5489.77
181100000	38960	4648.25	2666.67
181107000	38962	4648.22	4117.65
181109000	38962	4648.24	6666.67
181137000	38966	4648.53	7777.78
182195000	39177	4650.52	5018.98
182576000	39259	4650.44	4612.59
182586000	39261	4650.52	6666.67
182601000	39263	4650.65	7142.86
182635000	39271	4650.62	4473.68
183098000	39369	4650.80	4724.49
183105000	39370	4650.77	3888.89
183119000	39373	4650.82	5384.62
183128000	39375	4650.84	5294.12
183132000	39375	4650.89	8000.00
183134000	39376	4650.87	3412.97
183136000	39377	4650.80	2000.00
183138000	39377	4650.83	9345.79
183139000	39377	4650.82	3623.19
183141000	39378	4650.81	3921.57
183142000	39378	4650.78	2040.82
183145000	39379	4650.83	13392.86
183146000	39379	4650.78	1666.67
183150000	39380	4650.82	8000.00
183565000	39453	4652.67	5640.04
183567000	39454	4652.61	2178.65
183568000	39455	4652.56	1488.10
183967000	39543	4652.24	4512.09
184381000	39633	4652.10	4589.80
184381000	39634	4652.03	0.00
184383000	39634	4652.06	10000.00
184384000	39634	4652.06	5000.00
184385000	39635	4652.05	3333.33
184386000	39635	4651.99	1428.57
184896000	39747	4651.75	4566.86
185266000	39833	4651.04	4321.12
185934000	39954	4653.59	5488.91
186441000	40058	4654.19	4884.39
187177000	40209	4655.02	4873.59
187178000	40209	4655.03	9174.31
187178000	40209	4655.02	0.00
187178000	40210	4655.00	0.00
187178000	40210	4654.99	0.00
187179000	40211	4654.85	702.25
187181000	40212	4654.79	2222.22
187183000	40213	4654.77	3333.33
187186000	40214	4654.70	2307.69
187191000	40215	4654.71	5000.00
187706000	40323	4654.99	4760.23
187718000	40329	4654.65	2176.67
187738000	40332	4654.74	5714.29
187740000	40333	4654.71	2857.14
187745000	40334	4654.74	6250.00
187753000	40336	4654.68	3478.26
187757000	40337	4654.63	3122.56
187764000	40338	4654.71	8547.01
187769000	40339	4654.76	8333.33
188332000	40456	4655.20	4807.86
188334000	40456	4655.22	6666.67
188340000	40457	4655.28	7614.21
188340000	40458	4655.17	0.00
188344000	40458	4655.23	10000.00
188344000	40459	4655.18	0.00
188345000	40460	4655.07	833.33
188346000	40460	4655.03	2000.00
188351000	40461	4655.09	8333.33
188761000	40557	4654.11	4244.31
188763000	40558	4654.12	6666.67
188765000	40558	4654.15	10000.00
188773000	40559	4654.20	6153.85
188786000	40561	4654.31	7270.69
189245000	40655	4654.84	4882.36
189246000	40655	4654.83	3333.33
189246000	40656	4654.80	0.00
189249000	40656	4654.79	4285.71
189249000	40657	4654.74	0.00
189251000	40657	4654.77	10000.00
189649000	40749	4653.98	4307.36
190077000	40842	4653.88	4607.65
190082000	40843	4653.90	5488.47
190609000	40947	4655.01	5096.71
190611000	40947	4655.04	10362.69
190612000	40948	4654.97	1239.16
190612000	40949	4654.85	0.00
190613000	40949	4654.83	2570.69
190629000	40951	4654.97	7236.54
190629000	40951	4654.95	0.00
190631000	40952	4654.93	3333.33
190635000	40953	4654.93	5000.00
190644000	40954	4654.99	6428.57
190646000	40955	4655.00	5000.00
190647000	40955	4655.00	5000.00
190648000	40955	4654.99	3333.33
190650000	40955	4655.02	10000.00
190652000	40956	4654.95	2000.00
190654000	40957	4654.97	6666.67
190654000	40957	4654.92	0.00
190656000	40958	4654.90	3338.90
190658000	40958	4654.92	7220.22
191039000	41042	4654.72	4556.11
191041000	41042	4654.73	6666.67
191043000	41042	4654.75	6666.67
191532000	41159	4653.44	4193.83
192488000	41355	4654.45	4865.12
193164000	41490	4655.57	5000.04
193168000	41491	4655.59	5714.29
193172000	41492	4655.59	4444.44
193176000	41493	4655.57	4000.00
193181000	41494	4655.54	3846.15
193787000	41625	4655.49	4636.57
193799000	41627	4655.55	6000.00
194401000	41755	4655.68	4699.45
194409000	41758	4655.55	2758.62
195025000	41873	4657.51	5369.92
195027000	41874	4657.43	1684.92
195031000	41877	4657.23	1543.81
195040000	41879	4657.19	3897.79
195047000	41882	4657.00	2187.50
195051000	41883	4657.01	5056.89
195068000	41884	4657.30	16848.36
196379000	42149	4659.16	4953.13
196382000	42150	4659.12	2967.36
196407000	42155	4659.10	4480.29
196416000	42157	4659.08	4227.34
196419000	42157	4659.12	15000.00
197018000	42281	4659.71	4858.35
197021000	42282	4659.65	2710.03
197022000	42282	4659.66	5000.00
197024000	42282	4659.68	10000.00
197025000	42283	4659.67	3333.33
197026000	42283	4659.67	5434.78
197035000	42284	4659.70	5244.76
197037000	42285	4659.66	2560.82
197040000	42285	4659.72	25210.08
197042000	42286	4659.72	5000.00
197572000	42399	4659.73	4661.39
198155000	42521	4660.07	4779.79
198163000	42523	4660.07	4629.63
198190000	42529	4660.03	4397.39
198703000	42639	4660.02	4656.86
198706000	42640	4660.01	3764.12
198731000	42646	4659.96	4321.52
199324000	42774	4659.90	4639.41
199325000	42774	4659.86	1666.67
199331000	42776	4659.81	3529.41
199331000	42777	4659.77	0.00
199337000	42777	4659.84	10000.00
199341000	42778	4659.86	5714.29
199345000	42778	4659.90	8000.00
199346000	42779	4659.87	2032.52
199348000	42779	4659.89	7168.46
199352000	42780	4659.93	9324.01
199355000	42780	4659.96	7500.00
199371000	42783	4660.04	5925.93
199856000	42903	4658.30	4038.87
200450000	43024	4658.97	4896.26
200970000	43138	4658.76	4577.46
200970000	43138	4658.73	0.00
200972000	43138	4658.75	6666.67
201466000	43242	4658.95	4740.88
202170000	43375	4660.95	5313.21
202173000	43376	4660.93	3750.00
202176000	43377	4660.90	3333.33
202179000	43377	4660.88	3750.00
202180000	43378	4660.87	3333.33
202181000	43378	4660.88	5000.00
202191000	43379	4661.03	14430.01
202793000	43505	4661.34	4766.66
202793000	43505	4661.28	0.00
202793000	43506	4661.25	0.00
